Fecha,Total_Litros_Diarios,Litros_Asignados_Renta,Pipas_Necesarias,Capacidad_Rentada_L,Validación_Renta_OK
2025-04-23,1782541.0,0.0,0,0,True
2025-04-24,1289173.0,0.0,0,0,True
2025-04-25,1261351.0,0.0,0,0,True
2025-04-26,1639568.0,0.0,0,0,True
2025-04-27,1800743.0,0.0,0,0,True
2025-04-28,2051597.0,133029.0,3,192000,True
2025-04-29,2020249.0,106884.0,2,128000,True
2025-04-30,1953566.0,33736.0,1,64000,True
2025-05-01,1766177.0,0.0,0,0,True
2025-05-02,965486.0,0.0,0,0,True
2025-05-03,1920799.0,20952.0,1,64000,True
2025-05-04,2308267.0,393140.0,7,448000,True
2025-05-05,1711402.0,0.0,0,0,True
2025-05-06,1795277.0,0.0,0,0,True
2025-05-07,1734074.0,0.0,0,0,True
2025-05-08,2118432.0,203895.0,4,256000,True
2025-05-09,1122292.0,0.0,0,0,True
2025-05-10,2143184.0,224778.0,4,256000,True
2025-05-11,2324927.0,408919.0,7,448000,True
2025-05-12,2416766.0,498838.0,8,512000,True
2025-05-13,2564522.0,649060.0,11,704000,True
2025-05-14,1926163.1099999999,33652.0,1,64000,True
2025-05-15,1765805.0,0.0,0,0,True
2025-05-16,898676.0,0.0,0,0,True
2025-05-17,1651209.97,0.0,0,0,True
2025-05-18,2145712.0,228202.0,4,256000,True
2025-05-19,2190982.0,274233.0,5,320000,True
2025-05-20,1618739.0,0.0,0,0,True
2025-05-21,2146178.67,226814.0,4,256000,True
2025-05-22,1782311.0,0.0,0,0,True
2025-05-23,902562.0,0.0,0,0,True
2025-05-24,1595653.0,0.0,0,0,True
2025-05-25,1864517.46,0.0,0,0,True
2025-05-26,2323154.8499999996,403351.0,7,448000,True
2025-05-27,2065051.48,145084.0,3,192000,True
2025-05-28,1961985.0,60407.0,1,64000,True
2025-05-29,2168148.0,248704.0,4,256000,True
2025-05-30,893451.0,0.0,0,0,True
2025-05-31,1668616.0,0.0,0,0,True
2025-06-01,2003311.0,84957.0,2,128000,True
2025-06-02,2423298.0,503859.0,8,512000,True
2025-06-03,2047556.0,128518.0,2,128000,False
2025-06-04,2374352.0,456633.0,8,512000,True
2025-06-05,1615249.0,0.0,0,0,True
