Año-Mes,Total_Litros,Litros_Rentados,Total_Utilidad,Util_prom_litro
2024-12,32524799.000000,30656000.000000,6874152.045308,0.211351
2025-01,32337514.000000,30464000.000000,7020530.049099,0.217102
2025-02,34588579.880000,32704000.000000,6817056.978562,0.197090
2025-03,44711963.000000,42816000.000000,9770614.249851,0.218523
2025-04,54833473.970000,52928000.000000,13539974.114535,0.246929
2025-05,58404347.540000,56512000.000000,11533641.631332,0.197479
