Año-Mes,Total_Litros,Total_Utilidad,Litros_Rentados,Util_prom_litro
2024-12,27749565.0,6206788.947,118544.0,0.22367157636525112
2025-01,30110962.0,6899619.23,0.0,0.22913978072171856
2025-02,32878593.0,6900575.92,0.0,0.2098805116143504
2025-03,45192504.88,9992858.1975,1152705.0,0.2211175995673201
2025-04,55086714.97,14377120.986,3443502.98,0.2609907124400088
2025-05,56460520.54,12020880.514,4020029.0,0.2129077167378167
