Año-Mes,Litros_prev,Utilidad_prev,Util_x_L_prev,Litros_post,Utilidad_post,Util_x_L_post,Δ Utilidad,Δ Utilidad/L,% Δ Utilidad
2024-12,32524799.000000,6874152.045308,0.211351,27749565.000000,6206788.947000,0.223672,-667363.098308,0.012321,-9.708297
2025-01,32337514.000000,7020530.049099,0.217102,30110962.000000,6899619.230000,0.229140,-120910.819099,0.012038,-1.722246
2025-02,34588579.880000,6817056.978562,0.197090,32878593.000000,6900575.920000,0.209881,83518.941438,0.012791,1.225147
2025-03,44711963.000000,9770614.249851,0.218523,45192504.880000,9992858.197500,0.221118,222243.947649,0.002595,2.274616
2025-04,54833473.970000,13539974.114535,0.246929,55086714.970000,14377120.986000,0.260991,837146.871465,0.014062,6.182780
2025-05,58404347.540000,11533641.631332,0.197479,56460520.540000,12020880.514000,0.212908,487238.882668,0.015429,4.224502
TOTAL,257400677.390000,55555969.068687,0.215835,247478860.390000,56397843.794500,0.227890,841874.725813,0.012055,1.515363
